attack,level,dt_level,mal_nodes,method,seed,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal
stealth_amp,,D0,0,median,1,0.7925891280174255,0.7472740734147696,0.7954460382461548,0.7484454026218593,
stealth_amp,,D0,0,median,2,0.8035423159599304,0.7675747174267543,0.804964542388916,0.7658458090438482,
stealth_amp,,D0,0,median,3,0.7995805144309998,0.7578683946685314,0.8042179942131042,0.7613431230959891,
stealth_amp,,D0,0,median,4,0.8026100993156433,0.7653447401019113,0.801978349685669,0.7616474891892766,
stealth_amp,,D0,0,trimmed_mean,0,0.811465859413147,0.7756740033927496,0.813269853591919,0.7740408593443693,
stealth_amp,,D0,0,trimmed_mean,1,0.7907247543334961,0.7440130707972794,0.792833149433136,0.7436965533499783,
stealth_amp,,D0,0,trimmed_mean,2,0.8009787797927856,0.7637698234035417,0.8044979572296143,0.7644405055149819,
stealth_amp,,D0,0,trimmed_mean,3,0.7984153032302856,0.7562896318287455,0.8029115200042725,0.760166025757921,
stealth_amp,,D0,0,trimmed_mean,4,0.8014448881149292,0.7634882764076736,0.8021649718284607,0.7616958070561424,
stealth_amp,,D0,3,weighted,0,0.8103006482124329,0.7744373322582656,0.8120567202568054,0.7728503342381585,1.954254274227527e-10
stealth_amp,,D0,3,weighted,1,0.794453501701355,0.7491832651258115,0.7956327199935913,0.7482746524372103,1.5292006092948547e-10
stealth_amp,,D0,3,weighted,2,0.8014448881149292,0.7641156443267721,0.804404616355896,0.7640871191203521,6.826466704010275e-11
stealth_amp,,D0,3,weighted,3,0.7963178753852844,0.7534647282169398,0.8013251423835754,0.7578400834920842,1.0571873093468232e-09
stealth_amp,,D0,3,weighted,4,0.8019109964370728,0.764043468247091,0.8024449348449707,0.7620991285191503,1.8061993432052354e-10
stealth_amp,,D0,3,mean,0,0.4998834729194641,0.4119890935092517,0.4983202815055847,0.4078810268063646,
stealth_amp,,D0,3,mean,1,0.5835469365119934,0.562834953171693,0.5879059433937073,0.5638635090094413,
stealth_amp,,D0,3,mean,2,0.49452343583106995,0.46006604738131796,0.5084919929504395,0.4749364138775814,
stealth_amp,,D0,3,mean,3,0.5292472839355469,0.4661704683405608,0.5303284525871277,0.46125680621923937,
stealth_amp,,D0,3,mean,4,0.5826147794723511,0.5636753059944408,0.5851997137069702,0.5606518328508413,
stealth_amp,,D0,3,median,0,0.8063388466835022,0.7695736672674731,0.8100037574768066,0.7701534162155579,
stealth_amp,,D0,3,median,1,0.7930552363395691,0.7477205917399379,0.7962859272956848,0.749453385870068,
stealth_amp,,D0,3,median,2,0.8005126714706421,0.7624834848531679,0.8042179942131042,0.7636859221218542,
stealth_amp,,D0,3,median,3,0.7986483573913574,0.7565143195496439,0.8017917275428772,0.7586180156890561,
stealth_amp,,D0,3,median,4,0.8000466227531433,0.7620341614901929,0.8023515939712524,0.762052800245286,
stealth_amp,,D0,3,trimmed_mean,0,0.6975064277648926,0.6056457117282437,0.7046472430229187,0.6121581092527387,
stealth_amp,,D0,3,trimmed_mean,1,0.7573992013931274,0.7173047659274638,0.7540127038955688,0.7103636964080187,
stealth_amp,,D0,3,trimmed_mean,2,0.6951759457588196,0.6870124476139758,0.6990481615066528,0.6905187049638719,
stealth_amp,,D0,3,trimmed_mean,3,0.7315310835838318,0.6829969141260366,0.7430944442749023,0.6921008949230092,
stealth_amp,,D0,3,trimmed_mean,4,0.8021440505981445,0.7578040771087162,0.802818238735199,0.7538648875465793,
stealth_amp,,D0,5,weighted,0,0.808902382850647,0.7737687421233159,0.8105636239051819,0.7716006542405808,2.821734737049327e-10
stealth_amp,,D0,5,weighted,1,0.8049405813217163,0.7676005114694385,0.8098170757293701,0.7710404187440293,1.4757353773001998e-10
stealth_amp,,D0,5,weighted,2,0.8007457256317139,0.7636487537167309,0.8031914830207825,0.7629103234062997,3.6699839996844237e-10
stealth_amp,,D0,5,weighted,3,0.7965509295463562,0.7560721609181489,0.7996453642845154,0.756819175109636,3.0753696419376187e-10
stealth_amp,,D0,5,weighted,4,0.8002796769142151,0.7621531816792511,0.8009518384933472,0.7603011058721566,5.288396941241136e-10
stealth_amp,,D0,5,mean,0,0.5229550004005432,0.40813119108968116,0.5189436078071594,0.40186631938521905,
stealth_amp,,D0,5,mean,1,0.5856443643569946,0.5311423478109252,0.588092565536499,0.5304009168710826,
stealth_amp,,D0,5,mean,2,0.5977627635002136,0.4130876282741019,0.6049832105636597,0.41461088304413196,
stealth_amp,,D0,5,mean,3,0.6357492208480835,0.5351730045706395,0.6448301672935486,0.5372959359052176,
stealth_amp,,D0,5,mean,4,0.5737590193748474,0.571988282390308,0.5828667283058167,0.581326329106186,
stealth_amp,,D0,5,median,0,0.7916569709777832,0.7823132656461024,0.7986189126968384,0.7889469602228201,
stealth_amp,,D0,5,median,1,0.7613610029220581,0.6965562810725829,0.76213139295578,0.6958320838800842,
stealth_amp,,D0,5,median,2,0.7210440635681152,0.6920819563775567,0.7094064950942993,0.6770483360238373,
stealth_amp,,D0,5,median,3,0.7119552493095398,0.6700635278479916,0.7276968955993652,0.6870976506507546,
stealth_amp,,D0,5,median,4,0.7788394093513489,0.7304554932337957,0.783407986164093,0.7334030485952019,
stealth_amp,,D0,5,trimmed_mean,0,0.5399673581123352,0.413430520214989,0.543113112449646,0.415181507791886,
stealth_amp,,D0,5,trimmed_mean,1,0.6595199108123779,0.48498173409148343,0.6693729162216187,0.49867343207971504,
stealth_amp,,D0,5,trimmed_mean,2,0.5674667954444885,0.448189162132959,0.5677491426467896,0.44534942424652446,
stealth_amp,,D0,5,trimmed_mean,3,0.5252854824066162,0.5180434169482855,0.5395669937133789,0.5311476328568842,
stealth_amp,,D0,5,trimmed_mean,4,0.5830808877944946,0.5718158449794883,0.5903322100639343,0.580702147184313,
dt_logit_scale,,D0,0,weighted,0,0.8112328052520752,0.7750471819002998,0.8123366832733154,0.7727403892433653,0.0
dt_logit_scale,,D0,0,weighted,1,0.7916569709777832,0.7452773284670187,0.792833149433136,0.744058277481058,0.0
dt_logit_scale,,D0,0,weighted,2,0.8000466227531433,0.7619285397243212,0.8036580681800842,0.7632747667597135,0.0
dt_logit_scale,,D0,0,weighted,3,0.7979491949081421,0.7557261396480038,0.8015117645263672,0.7583467445648563,0.0
dt_logit_scale,,D0,0,weighted,4,0.801677942276001,0.7636080046361489,0.802538275718689,0.7620572207994547,0.0
dt_logit_scale,,D0,0,mean,0,0.8109997510910034,0.7746187057996119,0.8123366832733154,0.7725685845537483,
dt_logit_scale,,D0,0,mean,1,0.7911908626556396,0.7445831975883759,0.7929264903068542,0.7440962659685435,
dt_logit_scale,,D0,0,mean,2,0.8000466227531433,0.7618227008894212,0.8035647869110107,0.7629195740628105,
dt_logit_scale,,D0,0,mean,3,0.7979491949081421,0.7557261396480038,0.8014184236526489,0.7581169232722615,
dt_logit_scale,,D0,0,mean,4,0.8019109964370728,0.7638331173259562,0.8020716905593872,0.7613842375702562,
dt_logit_scale,,D0,0,median,0,0.8082032203674316,0.7713858846246026,0.8122434020042419,0.7728200809728095,
dt_logit_scale,,D0,0,median,1,0.7925891280174255,0.7472740734147696,0.7954460382461548,0.7484454026218593,
dt_logit_scale,,D0,0,median,2,0.8035423159599304,0.7675747174267543,0.804964542388916,0.7658458090438482,
dt_logit_scale,,D0,0,median,3,0.7995805144309998,0.7578683946685314,0.8042179942131042,0.7613431230959891,
dt_logit_scale,,D0,0,median,4,0.8026100993156433,0.7653447401019113,0.801978349685669,0.7616474891892766,
