attack,level,dt_level,mal_nodes,method,polluted_acc_m,polluted_acc_s,polluted_f1_m,polluted_f1_s,clean_acc_m,clean_acc_s,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,count
label_flip,L1,D0,5,median,0.5109298586845398,0.07025947821472942,0.3366941683496733,0.031435302134455424,0.5299552083015442,0.146749950955132,0.3400671220916259,0.06587902237425647,nan,nan,5
label_flip,L1,D0,5,trimmed_mean,0.48394314050674436,0.06926783779708945,0.3246757588414456,0.03093547049143971,0.4700447916984558,0.146749950955132,0.31317212382990506,0.06587902237425647,nan,nan,5
stealth_amp,,D0,0,weighted,0.8005127072334289,0.006348088988790884,0.7603174388751585,0.009774187927828883,0.8025755882263184,0.006204820160061433,0.7600954797696896,0.009317724628828286,0.0,0.0,5
stealth_amp,,D0,0,mean,0.8004194855690002,0.006412105218900318,0.7601167722502737,0.009875192011679596,0.8024636149406433,0.006178880705103222,0.759817117085524,0.009216472723853605,nan,nan,5
stealth_amp,,D0,0,median,0.8013050556182861,0.005162065207739057,0.7618895620473138,0.008534889391497593,0.8037700653076172,0.00540230547019286,0.7620203809847566,0.0079516688029545,nan,nan,5
stealth_amp,,D0,0,trimmed_mean,0.8006059169769287,0.006651577448106136,0.7606469611659981,0.010385662874305718,0.8031354904174804,0.006506795395598516,0.7608079502046785,0.00982146222804736,nan,nan,5
stealth_amp,,D0,3,weighted,0.8008855819702149,0.005518031724605851,0.761048887634976,0.00889871261125118,0.8031728267669678,0.0053148441842603405,0.761030263561391,0.008038454740010453,3.3088347981193753e-10,3.658100296984162e-10,5
stealth_amp,,D0,3,mean,0.5379631817340851,0.03869027397729772,0.4929471736794529,0.06039725421475199,0.5420492768287659,0.03779017895008403,0.4937179177526936,0.06029095033295618,nan,nan,5
stealth_amp,,D0,3,median,0.7997203469276428,0.00424527110633028,0.759665244980083,0.007270957924989843,0.8029302000999451,0.004415221252767067,0.7607927080283645,0.006795452769786312,nan,nan,5
stealth_amp,,D0,3,trimmed_mean,0.7367513418197632,0.03999617081467644,0.6901527833008873,0.050032871258973516,0.7407241582870483,0.03761997089145625,0.6918012586188436,0.04591562718530809,nan,nan,5
stealth_amp,,D0,5,weighted,0.8022838592529297,0.004245282362066419,0.7646486699813769,0.005876612734540145,0.8048338770866394,0.004524391988382267,0.7645343354745405,0.005871002093906946,3.266244139442541e-10,1.2403266616897561e-10,5
stealth_amp,,D0,5,mean,0.5831740736961365,0.03660070584196552,0.49190449082713117,0.06790471404106042,0.5879432559013367,0.040775545626159114,0.4931000768623674,0.07157185236741719,nan,nan,5
stealth_amp,,D0,5,median,0.7529713392257691,0.03142544248199922,0.7142941048356058,0.03912071212017766,0.7562523365020752,0.03339720184138013,0.7164656158745396,0.0409447527296996,nan,nan,5
stealth_amp,,D0,5,trimmed_mean,0.5750640869140625,0.046828333226080494,0.4872921356734411,0.05491778849918773,0.5820268750190735,0.0473693689708067,0.49421082883186446,0.05915752008285558,nan,nan,5
dt_logit_scale,,D0,0,weighted,0.8005127072334289,0.006348088988790884,0.7603174388751585,0.009774187927828883,0.8025755882263184,0.006204820160061433,0.7600954797696896,0.009317724628828286,0.0,0.0,5
dt_logit_scale,,D0,0,mean,0.8004194855690002,0.006412105218900318,0.7601167722502737,0.009875192011679596,0.8024636149406433,0.006178880705103222,0.759817117085524,0.009216472723853605,nan,nan,5
dt_logit_scale,,D0,0,median,0.8013050556182861,0.005162065207739057,0.7618895620473138,0.008534889391497593,0.8037700653076172,0.00540230547019286,0.7620203809847566,0.0079516688029545,nan,nan,5
dt_logit_scale,,D0,0,trimmed_mean,0.8006059169769287,0.006651577448106136,0.7606469611659981,0.010385662874305718,0.8031354904174804,0.006506795395598516,0.7608079502046785,0.00982146222804736,nan,nan,5
dt_logit_scale,,D0,3,weighted,0.8066651225090027,0.008975864643594234,0.7780192351561459,0.016840991267116898,0.8109555602073669,0.007132214291982111,0.7809822669006369,0.01594801040106991,0.07200052091120614,0.01511324536842944,5
dt_logit_scale,,D0,3,mean,0.7560475468635559,0.017478386399842918,0.6782918753757861,0.030725674102600926,0.7619447469711303,0.01696065936925185,0.6830069157584322,0.03053856025933152,nan,nan,5
dt_logit_scale,,D0,3,median,0.7986483335494995,0.0051587030553203244,0.7579482113215553,0.008566918822564478,0.8021089911460877,0.005614833370054024,0.7593517719146666,0.008656566632071268,nan,nan,5
dt_logit_scale,,D0,3,trimmed_mean,0.7968305826187134,0.009279103420701864,0.7565090536347606,0.019674316092811086,0.8019596934318542,0.007263825602821353,0.7602834955208013,0.01683577418549497,nan,nan,5
dt_logit_scale,,D0,5,weighted,0.8034024834632874,0.006054901321057579,0.7727969384765185,0.01602497364954822,0.8066255927085877,0.00637751762897744,0.7740558642983337,0.01821142879390512,0.0897469929455688,0.02169905531294087,5
dt_logit_scale,,D0,5,mean,0.7055231928825378,0.04957399304691589,0.5635238178059225,0.11693440339886334,0.7153042197227478,0.05062625857988261,0.5734864451372652,0.11937204614876121,nan,nan,5
dt_logit_scale,,D0,5,median,0.6564903378486633,0.0619121928356307,0.646032483398886,0.05650633919795472,0.6672452449798584,0.06166274338855335,0.656450935009841,0.05653269891308631,nan,nan,5
dt_logit_scale,,D0,5,trimmed_mean,0.7168958187103271,0.050864343299768106,0.5894351135233447,0.11788883498722755,0.7248973488807678,0.04944597880346706,0.5969965282432393,0.11660627228439902,nan,nan,5
