attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
stealth_amp,stealth_amp,,D0,5,weighted,0,15,7,0,0.7232961111990479,0.3239365816116333,80.49821832303927,0,80.49821832303927,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,80.49821832303927,1.0,0.3239365816116333,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,0,15,8,0,0.7076224665678177,0.345844566822052,57.56151336970579,0,57.56151336970579,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,57.56151336970579,1.0,0.345844566822052,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,0,15,9,0,0.7238650873965511,0.32315024733543396,81.48352966083753,0,81.48352966083753,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,81.48352966083753,1.0,0.32315024733543396,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,0,1,0.00015311725980056719,8.784306526184082,8.919778060170306e-09,0,8.919778060170306e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,8.919778060170306e-09,1.0,8.784306526184082,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,1,1,0.0011282436329879174,6.787093162536621,6.701972347186813e-08,0,6.701972347186813e-08,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,6.701972347186813e-08,1.0,6.787093162536621,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,2,1,3.534047658230093e-05,10.250481605529785,2.0539000519554903e-09,0,2.0539000519554903e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,2.0539000519554903e-09,1.0,10.250481605529785,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,3,1,5.599661547814695e-05,9.7902193069458,3.2557278857894846e-09,0,3.2557278857894846e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.2557278857894846e-09,1.0,9.7902193069458,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,4,1,0.0001564114511530964,8.763020515441895,9.112280048501309e-09,0,9.112280048501309e-09,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,9.112280048501309e-09,1.0,8.763020515441895,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,5,0,0.6759892280694744,0.39157813787460327,29.20838520753858,0,29.20838520753858,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,29.20838520753858,1.0,0.39157813787460327,1,0.8,0.0,128,0,0
stealth_amp,stealth_amp,,D0,5,weighted,1,15,6,0,0.7016394115374014,0.3543356657028198,50.63798438512687,0,50.63798438512687,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,50.63798438512687,1.0,0.3543356657028198,1,0.8,0.0,128,0,0
