attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,delta_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,rep_config,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
stealth_amp,stealth_amp,,D0,5,weighted,0,0.7,0.0,128,0,False,,0.809135377407074,0.7738970066671211,0.8100970387458801,0.770803483713912,-0.0030935229532090824,3.078613845712877e-10,0.02300244152078754,81.78755187988281,0.6389652490615845,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.17333333333333334,0.0,0.9769975584792124,False,weighted,"R2,R4",nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted,1,0.7,0.0,128,0,False,,0.8086693286895752,0.7714303714095615,0.8029115200042725,0.7613040333491645,-0.010126338060396978,3.957099791662317e-10,0.044237090807479985,93.74921417236328,0.7324157357215881,0.734375,0.0,0.0,0.0,none,0,34.0,94.0,0.04,0.0,0.9557629091925202,False,weighted,"R2,R4",nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted,2,0.7,0.0,128,0,False,,0.8093684315681458,0.7721117982737579,0.8048712015151978,0.7665216120942953,-0.005590186179462608,3.7522794691688276e-10,0.025509119589919863,81.73208618164062,0.6385319232940674,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.18666666666666665,0.0,0.97449088041008,False,weighted,"R2,R4",nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted,3,0.7,0.0,128,0,False,,0.8063388466835022,0.7694714742180992,0.8011384606361389,0.7589517334107521,-0.010519740807347189,2.0541992730757588e-10,0.025382357909165112,88.71661376953125,0.6930985450744629,0.6953125,0.0,0.0,0.0,none,0,39.0,89.0,0.12000000000000001,0.0,0.9746176420908349,False,weighted,"R2,R4",nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted,4,0.7,0.0,128,0,False,,0.8005126714706421,0.7586555818024208,0.801978349685669,0.7611162479696765,0.0024606661672557095,4.639581154074088e-10,0.02877992609632183,84.79580688476562,0.6624672412872314,0.6640625,0.0,0.0,0.0,none,0,43.0,85.0,0.24000000000000002,0.0,0.9712200739036779,False,weighted,"R2,R4",nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted_r4only,0,0.7,0.0,128,0,False,,0.8100675940513611,0.7746073264174744,0.8124300241470337,0.7734711546223101,-0.0011361717951643424,4.1160866852756225e-07,0.030402170279255274,81.78755187988281,0.6389652490615845,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.17333333333333334,0.0,0.9695978297207446,False,weighted,R4,nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted_r4only,1,0.7,0.0,128,0,False,,0.808902382850647,0.7713483262886505,0.8044979572296143,0.7631582786911175,-0.008190047597532946,4.2688291738798785e-07,0.04517460721583444,93.74921417236328,0.7324157357215881,0.734375,0.0,0.0,0.0,none,0,34.0,94.0,0.04,0.0,0.9548253927841656,False,weighted,R4,nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted_r4only,2,0.7,0.0,128,0,False,,0.8093684315681458,0.771699381161933,0.8062710165977478,0.7676692939195311,-0.004030087242401947,5.024740413701567e-07,0.03339572012784937,81.73208618164062,0.6385319232940674,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.18666666666666665,0.0,0.9666042798721507,False,weighted,R4,nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted_r4only,3,0.7,0.0,128,0,False,,0.8077371120452881,0.7720415825975576,0.804684579372406,0.7642711014315706,-0.007770481165986998,2.0173313273112774e-07,0.036606114976854655,88.71661376953125,0.6930985450744629,0.6953125,0.0,0.0,0.0,none,0,39.0,89.0,0.2,0.0,0.9633938850231452,False,weighted,R4,nan,nan,nan,base
stealth_amp,stealth_amp,,D0,5,weighted_r4only,4,0.7,0.0,128,0,False,,0.8002796769142151,0.7584303500941221,0.8009518384933472,0.759631407794247,0.0012010577001249079,7.489772492308824e-07,0.03231055080175956,84.79580688476562,0.6624672412872314,0.6640625,0.0,0.0,0.0,none,0,43.0,85.0,0.2533333333333333,0.0,0.9676894491982403,False,weighted,R4,nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0,0.7,0.0,128,0,False,,0.8107666969299316,0.7758783494497234,0.8100037574768066,0.7709681455803619,-0.004910203869361585,0.018466247555921803,0.16534270447285235,81.78755187988281,0.6389652490615845,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.2533333333333333,0.013333333333333334,0.8346572955271475,False,weighted,"R2,R4",nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted,1,0.7,0.0,128,0,False,,0.7986483573913574,0.75640002649217,0.792273223400116,0.7439834355334813,-0.012416590958688634,0.10123917013952535,0.2888370598007565,93.74921417236328,0.7324157357215881,0.734375,0.0,0.0,0.0,none,0,34.0,94.0,0.0,0.0,0.7111629401992434,False,weighted,"R2,R4",nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted,2,0.7,0.0,128,0,False,,0.8077371120452881,0.793136314845436,0.8094438314437866,0.7948953268489654,0.0017590120035293477,0.12809393474091146,0.17936003590025745,81.73208618164062,0.6385319232940674,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.26666666666666666,0.0,0.8206399640997426,False,weighted,"R2,R4",nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted,3,0.7,0.0,128,0,False,,0.7946865558624268,0.7473101364072372,0.7920866012573242,0.738968765135076,-0.008341371272161169,0.09785332942574893,0.245252819250825,88.71661376953125,0.6930985450744629,0.6953125,0.0,0.0,0.0,none,0,39.0,89.0,0.06666666666666667,0.0,0.754747180749175,False,weighted,"R2,R4",nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted,4,0.7,0.0,128,0,False,,0.826147735118866,0.8091961299023895,0.8248413801193237,0.807181949293051,-0.002014180609338556,0.1675061792783325,0.21058059591927278,84.79580688476562,0.6624672412872314,0.6640625,0.0,0.0,0.0,none,0,43.0,85.0,0.3333333333333333,0.14666666666666664,0.7894194040807272,False,weighted,"R2,R4",nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r4only,0,0.7,0.0,128,0,False,,0.7657888531684875,0.6970472600663651,0.7765024304389954,0.7092089497735228,0.012161689707157697,0.11358554072585116,0.24628286669087618,81.78755187988281,0.6389652490615845,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.0,0.0,0.7537171333091239,False,weighted,R4,nan,nan,nan,base
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r4only,1,0.7,0.0,128,0,False,,0.7928221821784973,0.7436062002050413,0.7858342528343201,0.7302898482486984,-0.013316351956342953,0.13674702329831975,0.30503167321201147,93.74921417236328,0.7324157357215881,0.734375,0.0,0.0,0.0,none,0,34.0,94.0,0.0,0.0,0.6949683267879885,False,weighted,R4,nan,nan,nan,base
