attack,level,dt_level,mal_nodes,is_malicious,method,node_id,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,0,0,weighted_r4only,0,0.5,0.5,0.7185063666824847,9.077390776145549,9.077390776145549,0.3311335504055023,0.8,0.0,0.0,0.023587939753470368,1.9596815842611077,1.9596815842611077,0.033465283070909776,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,1,0.5,0.5,0.7177329402593815,8.982909356019853,8.982909356019853,0.33214030861854554,0.8,0.0,0.0,0.02204330201942351,1.8364925438378459,1.8364925438378459,0.031246218435200174,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,2,0.5,0.5,0.7201719400532954,9.321442937955121,9.321442937955121,0.32899022102355957,0.8,0.0,0.0,0.027221129716686037,2.4404740560574867,2.4404740560574867,0.03821957679069004,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,3,0.5,0.5,0.7163314215853878,8.890530305857089,8.890530305857089,0.33415059447288514,0.8,0.0,0.0,0.02335919614686266,2.0407423755527674,2.0407423755527674,0.03291335412838189,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,4,0.5,0.5,0.7181196752081245,9.07307164390155,9.07307164390155,0.33171926736831664,0.8,0.0,0.0,0.0246734941105691,2.1445864596795188,2.1445864596795188,0.03479476240349526,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,5,0.5,0.5,0.7132032265056105,8.634605786706938,8.634605786706938,0.33858115673065187,0.8,0.0,0.0,0.024428460238904375,2.1052482299790087,2.1052482299790087,0.03450357540129641,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,6,0.5,0.5,0.7151080771543038,8.704938446741414,8.704938446741414,0.3356891870498657,0.8,0.0,0.0,0.01917978239089431,1.5638821004528634,1.5638821004528634,0.027262508181218736,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,7,0.5,0.5,0.7105858759767799,8.331639369921472,8.331639369921472,0.34208838939666747,0.8,0.0,0.0,0.02045460271315632,1.6132464542054692,1.6132464542054692,0.029233160057736355,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,8,0.5,0.5,0.7165660277156566,8.911344524700732,8.911344524700732,0.3338071584701538,0.8,0.0,0.0,0.02305924703400893,2.043208849923128,2.043208849923128,0.03239135493266218,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r4only,9,0.5,0.5,0.7168831971099106,8.890167446854967,8.890167446854967,0.3332752168178558,0.8,0.0,0.0,0.020882017355103297,1.7494613173805047,1.7494613173805047,0.029572001144057728,0.4000000000000001,5
dt_logit_scale,,D0,3,0,weighted,3,0.7310585786300049,1.0,0.7579449874601878,300.3326353408288,300.3326353408288,0.2789956331253052,1.0,0.0,0.0,0.04690437577939657,354.04050038925595,354.04050038925595,0.060341691946748786,0.0,5
dt_logit_scale,,D0,3,0,weighted,4,0.7310585786300049,1.0,0.7554667063628184,298.15017338034943,298.15017338034943,0.2824109196662903,1.0,0.0,0.0,0.0485566908602832,365.1710955387174,365.1710955387174,0.06254058268061644,0.0,5
dt_logit_scale,,D0,3,0,weighted,5,0.7310585786300049,1.0,0.7548300587502828,283.97523739912515,283.97523739912515,0.2832882136106491,0.8,0.0,0.0,0.04864743909515979,325.52756532706184,325.52756532706184,0.0632622154344619,0.4000000000000001,5
dt_logit_scale,,D0,3,0,weighted,6,0.7310585786300049,1.0,0.7503571036842872,177.88929282993226,177.88929282993226,0.2879736125469208,1.0,0.0,0.0,0.029202333122319003,87.31992110355814,87.31992110355814,0.03931312000649529,0.0,5
dt_logit_scale,,D0,3,0,weighted,7,0.7310585786300049,1.0,0.7431788886836405,159.9749163315793,159.9749163315793,0.29763505458831785,1.0,0.0,0.0,0.030138631102021397,104.25928237746446,104.25928237746446,0.040344688554345844,0.0,5
dt_logit_scale,,D0,3,0,weighted,8,0.7310585786300049,1.0,0.7557563263315551,262.34399893476177,262.34399893476177,0.2816619694232941,1.0,0.0,0.0,0.04364809939302082,273.26314986080905,273.26314986080905,0.05666262237784283,0.0,5
dt_logit_scale,,D0,3,0,weighted,9,0.7310585786300049,1.0,0.7503132177593013,198.98800833154445,198.98800833154445,0.2883149564266205,1.0,0.0,0.0,0.03467043478884315,160.93374625921174,160.93374625921174,0.04565429827566695,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,3,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,4,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,5,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,6,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,7,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,3,0,weighted_r2only,8,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
