attack,level,dt_level,mal_nodes,is_malicious,method,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,5,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
dt_logit_scale,,D0,5,0,weighted_r4only,0.5,0.5,0.6668745659167474,5.5403377590724965,5.5403377590724965,0.40688260674476623,0.2,0.0,0.0,0.039787490554639066,2.801957547159433,2.801957547159433,0.05839755340818301,0.4,25
dt_logit_scale,,D0,5,1,weighted,0.7310585786300049,1.0,0.6147651607350112,36.024172358239106,36.024172358239106,0.4958214795589447,0.12,0.0,0.0,0.08132564793136124,80.80705148515075,80.80705148515075,0.13924827136485057,0.32496153618543844,25
dt_logit_scale,,D0,5,1,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
dt_logit_scale,,D0,5,1,weighted_r4only,0.5,0.5,0.5031948408506058,0.9740636793827899,0.9740636793827899,0.6923244071006774,0.0,0.0,0.0,0.055203504793567545,0.9540584287130327,0.9540584287130327,0.10327352647325026,0.0,25
label_flip,L1,D0,0,0,weighted,0.7310585786300049,1.0,0.7164686290125708,85.27567254491652,85.27567254491652,0.33395314872264864,0.8,0.0,0.0,0.023193714384647984,34.98621016979763,34.98621016979763,0.03276021291233961,0.4,50
label_flip,L1,D0,0,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,50
label_flip,L1,D0,0,0,weighted_r4only,0.5,0.5,0.7163208748250934,8.88180405948047,8.88180405948047,0.33415750503540037,0.8,0.0,0.0,0.02314693774606082,1.9830017677188079,1.9830017677188079,0.03270251932631413,0.4,50
label_flip,L1,D0,3,0,weighted,0.7310585786300049,1.0,0.6932853634725955,50.945376234752175,50.945376234752175,0.36658789685794285,0.2571428571428571,0.0,0.0,0.01622849371083098,17.203893183728326,17.203893183728326,0.0234311240429083,0.4370588154508102,35
label_flip,L1,D0,3,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,35
label_flip,L1,D0,3,0,weighted_r4only,0.5,0.5,0.670315181768543,5.3692767702831,5.3692767702831,0.40035491500582016,0.05714285714285714,0.0,0.0,0.01774425717912578,1.137895635624034,1.137895635624034,0.026317706735772023,0.23211538298959888,35
label_flip,L1,D0,3,1,weighted,0.731058578630005,1.0,0.5888280792030068,6.334927586118039,6.334927586118039,0.5314642210801442,0.0,1.1102230246251565e-16,0.0,0.034889299373813326,3.520242280628958,3.520242280628958,0.061482126402098075,0.0,15
label_flip,L1,D0,3,1,weighted_r2only,0.731058578630005,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,nan,0.0,15
label_flip,L1,D0,3,1,weighted_r4only,0.5,0.5,0.5657977071646544,1.6823440567988968,1.6823440567988968,0.5718031167984009,0.0,0.0,0.0,0.03679840697875814,0.563437812018723,0.563437812018723,0.06895373668533479,0.0,15
label_flip,L1,D0,5,0,weighted,0.7310585786300049,1.0,0.6734575752158363,36.5263128430215,36.5263128430215,0.3961312699317932,0.16,0.0,0.0,0.02676995271614687,17.29784001332604,17.29784001332604,0.040162190346155306,0.36660605559646714,25
label_flip,L1,D0,5,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
label_flip,L1,D0,5,0,weighted_r4only,0.5,0.5,0.5935121565238457,2.552507454900684,2.552507454900684,0.525411319732666,0.0,0.0,0.0,0.05095311038150516,1.4600435210060538,1.4600435210060538,0.08636720503735919,0.0,25
label_flip,L1,D0,5,1,weighted,0.7310585786300049,1.0,0.557400006426161,5.013898284719397,5.013898284719397,0.5924241530895233,0.0,0.0,0.0,0.06722231325371099,4.326622399314768,4.326622399314768,0.12901754432018112,0.0,25
label_flip,L1,D0,5,1,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
label_flip,L1,D0,5,1,weighted_r4only,0.5,0.5,0.48266350509489164,0.750037303790932,0.750037303790932,0.7349632132053375,0.0,0.0,0.0,0.056399844733232285,0.657064317160254,0.657064317160254,0.11309292127457755,0.0,25
stealth_amp,,D0,0,0,weighted,0.7310585786300049,1.0,0.7164686290125708,85.27567254491652,85.27567254491652,0.33395314872264864,0.8,0.0,0.0,0.023193714384647984,34.98621016979763,34.98621016979763,0.03276021291233961,0.4,50
stealth_amp,,D0,0,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,50
stealth_amp,,D0,0,0,weighted_r4only,0.5,0.5,0.7163208748250934,8.88180405948047,8.88180405948047,0.33415750503540037,0.8,0.0,0.0,0.02314693774606082,1.9830017677188079,1.9830017677188079,0.03270251932631413,0.4,50
stealth_amp,,D0,3,0,weighted,0.7310585786300049,1.0,0.7174170497467064,86.0051064610941,86.0051064610941,0.3325581763471876,0.8,0.0,0.0,0.02162595305502046,33.87866780989527,33.87866780989527,0.03043860048171785,0.4,35
stealth_amp,,D0,3,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,35
stealth_amp,,D0,3,0,weighted_r4only,0.5,0.5,0.7179074572906045,8.99588435106198,8.99588435106198,0.3318546414375305,0.8,0.0,0.0,0.021155658486021012,1.8487446511496375,1.8487446511496375,0.029766632565210373,0.4,35
stealth_amp,,D0,3,1,weighted,0.731058578630005,1.0,0.0008760495174214395,6.447526972384832e-08,6.447526972384832e-08,8.685436058044434,0.0,1.1102230246251565e-16,0.0,0.0019211637932442657,1.4660393750185184e-07,1.4660393750185184e-07,1.801539839974218,0.0,15
stealth_amp,,D0,3,1,weighted_r2only,0.731058578630005,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,nan,0.0,15
stealth_amp,,D0,3,1,weighted_r4only,0.5,0.5,0.0008637367457603742,8.73116309399121e-06,8.73116309399121e-06,8.685541820526122,0.0,0.0,0.0,0.0018583724172592947,1.910099421323535e-05,1.910099421323535e-05,1.795515075915319,0.0,15
stealth_amp,,D0,5,0,weighted,0.7310585786300049,1.0,0.7183794708160921,84.84191393154799,84.84191393154799,0.3310080897808075,0.92,0.0,0.0,0.01605701138629928,27.72089197409443,27.72089197409443,0.022417682950835904,0.2712931993250107,25
stealth_amp,,D0,5,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
stealth_amp,,D0,5,0,weighted_r4only,0.5,0.5,0.7230287776918507,9.435583207235297,9.435583207235297,0.3246164906024933,0.92,0.0,0.0,0.01788747661269575,1.6131182387973866,1.6131182387973866,0.024996390338804134,0.2712931993250107,25
stealth_amp,,D0,5,1,weighted,0.7310585786300049,1.0,0.00044794562175456075,3.034858075432228e-08,3.034858075432228e-08,8.546592254638671,0.0,0.0,0.0,0.0005080780711577366,3.476625381583089e-08,3.476625381583089e-08,1.4736377235558387,0.0,25
stealth_amp,,D0,5,1,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,25
stealth_amp,,D0,5,1,weighted_r4only,0.5,0.5,0.00044890260918436104,4.3661890695262614e-06,4.3661890695262614e-06,8.550213508605957,0.0,0.0,0.0,0.0005149036865659075,5.032864638678829e-06,5.032864638678829e-06,1.471658799604517,0.0,25
