attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,rep_config,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
label_flip,label_flip,L1,D0,3,weighted,1,15,3,0,0.6893014600098266,0.3720765709877014,44.42193731146225,0,44.42193731146225,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,44.42193731146225,0.5,0.3720765709877014,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,4,0,0.6884492562690653,0.37331366539001465,43.61723026241105,0,43.61723026241105,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,43.61723026241105,0.5,0.37331366539001465,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,5,0,0.686779752861798,0.3757416307926178,42.08259472503566,0,42.08259472503566,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,42.08259472503566,0.5,0.3757416307926178,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,6,0,0.6929433400306034,0.3668070435523987,48.03070812037965,0,48.03070812037965,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,48.03070812037965,0.5,0.3668070435523987,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,7,0,0.688892944045638,0.37266939878463745,44.034362011117224,0,44.034362011117224,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,44.034362011117224,0.5,0.37266939878463745,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,8,0,0.6917659976297797,0.3685075342655182,46.83324060464837,0,46.83324060464837,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,46.83324060464837,0.5,0.3685075342655182,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,9,0,0.6895740139145298,0.37168124318122864,44.68240665070103,0,44.68240665070103,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,44.68240665070103,0.5,0.37168124318122864,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,0,1,0.6272066657304862,0.46647918224334717,11.674826401199173,0,11.674826401199173,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,11.674826401199173,0.5,0.46647918224334717,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,1,1,0.6330872302531406,0.4571470618247986,13.255046462816466,0,13.255046462816466,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,13.255046462816466,0.5,0.4571470618247986,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,2,1,0.5450232316072257,0.6069268584251404,1.9607333776367815,0,1.9607333776367815,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,1.9607333776367815,0.5,0.6069268584251404,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,3,0,0.719345417669761,0.32941362261772156,82.27063266509884,1,82.27063266509884,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,82.27063266509884,0.5,0.32941362261772156,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,4,0,0.7149785663154192,0.3355027139186859,75.3901917884667,1,75.3901917884667,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,75.3901917884667,0.5,0.3355027139186859,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,5,0,0.7223068765184759,0.32530519366264343,87.29065288670999,1,87.29065288670999,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,87.29065288670999,0.5,0.32530519366264343,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,6,0,0.7179652466680192,0.33133411407470703,80.0307384277664,1,80.0307384277664,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,80.0307384277664,0.5,0.33133411407470703,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,7,0,0.7070430152066934,0.34666377305984497,64.32614524149915,1,64.32614524149915,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,64.32614524149915,0.5,0.34666377305984497,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,8,0,0.7211112993682494,0.32696178555488586,85.22815570188571,1,85.22815570188571,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,85.22815570188571,0.5,0.32696178555488586,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,9,0,0.7197133691997672,0.3289022445678711,82.87829793969102,1,82.87829793969102,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,82.87829793969102,0.5,0.3289022445678711,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,0,1,0.6013799476399835,0.5085283517837524,6.678219451341647,0,6.678219451341647,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,6.678219451341647,0.5,0.5085283517837524,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,1,1,0.4975324259120051,0.6980945467948914,0.6923489227931062,0,0.6923489227931062,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,0.6923489227931062,0.5,0.6980945467948914,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,2,1,0.5982584110173546,0.5137324929237366,6.24147497860141,0,6.24147497860141,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,6.24147497860141,0.5,0.5137324929237366,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,3,0,0.6999457859157081,0.3567523956298828,55.80950104328766,1,55.80950104328766,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,55.80950104328766,0.5,0.3567523956298828,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,4,0,0.6925829856079385,0.3673272132873535,47.66099272060036,0,47.66099272060036,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,47.66099272060036,0.5,0.3673272132873535,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,5,0,0.6925261231405235,0.3674093186855316,47.60291248030926,0,47.60291248030926,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,47.60291248030926,0.5,0.3674093186855316,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,6,0,0.6973985852616336,0.36039817333221436,52.844536722644975,0,52.844536722644975,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,52.844536722644975,0.5,0.36039817333221436,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,7,0,0.6964230391548094,0.3617979884147644,51.750991763978064,0,51.750991763978064,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,51.750991763978064,0.5,0.3617979884147644,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,8,0,0.6918914587849441,0.36832618713378906,46.959418396816005,0,46.959418396816005,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,46.959418396816005,0.5,0.36832618713378906,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,3,15,9,0,0.6991437611789894,0.35789889097213745,54.85849953916964,0,54.85849953916964,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,54.85849953916964,0.5,0.35789889097213745,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,0,1,0.6222225006217306,0.4744575321674347,10.483192727517405,0,10.483192727517405,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,10.483192727517405,0.5,0.4744575321674347,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,1,1,0.5931926559584269,0.5222360491752625,5.592340377859444,0,5.592340377859444,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,5.592340377859444,0.5,0.5222360491752625,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,2,1,0.6095766632381212,0.4949905574321747,7.975094587737992,0,7.975094587737992,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,7.975094587737992,0.5,0.4949905574321747,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,3,0,0.6982892740957976,0.35912182927131653,53.86303601557341,0,53.86303601557341,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,53.86303601557341,0.5,0.35912182927131653,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,4,0,0.7030110982530003,0.3523826003074646,59.342623364286595,1,59.342623364286595,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,59.342623364286595,0.5,0.3523826003074646,0,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,5,0,0.6987687701675831,0.35843539237976074,54.41940570520163,0,54.41940570520163,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,54.41940570520163,0.5,0.35843539237976074,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,6,0,0.6824799209477299,0.3820221722126007,38.37311363253547,0,38.37311363253547,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,38.37311363253547,0.5,0.3820221722126007,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,7,0,0.6840767476427568,0.3796851634979248,39.71109386735258,0,39.71109386735258,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,39.71109386735258,0.5,0.3796851634979248,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,4,15,8,0,0.6989691763975215,0.35814863443374634,54.65363329079982,0,54.65363329079982,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,54.65363329079982,0.5,0.35814863443374634,1,0.7,0.0,128,0,0
