attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,polluted_acc_m,polluted_f1_m,clean_acc_m,clean_f1_m,w_mal_m,w_mal_round_mean_m,S_DT_m,S_DT_ratio_m,valid_ratio_m,num_masked_m,num_valid_m,fallback_rate_m,benign_pass_rate_m,malicious_pass_rate_m,benign_admitted_weight_mass_m,polluted_acc_s,polluted_f1_s,clean_acc_s,clean_f1_s,w_mal_s,w_mal_round_mean_s,S_DT_s,S_DT_ratio_s,valid_ratio_s,num_masked_s,num_valid_s,fallback_rate_s,benign_pass_rate_s,malicious_pass_rate_s,benign_admitted_weight_mass_s,count
label_flip,label_flip,L1,D0,5,median,0.7,0.0,512,0,0.4994640052318573,0.36607274641096493,0.5058977246284485,0.36709177572450014,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.054253846428570646,0.07433327836283334,0.13448205349023368,0.10083989912139994,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,trimmed_mean,0.7,0.0,512,0,0.4877184867858887,0.3268511109170568,0.4700447916984558,0.31317212382990506,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.05715308023791037,0.02547700593185814,0.146749950955132,0.06587902237425647,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,5,weighted,0.7,0.0,512,0,0.6103938460350037,0.5572282110384219,0.7894176959991455,0.7381131453331827,0.13233036360735617,0.1627746651075334,347.8052673339844,0.6793071627616882,0.68125,163.2,348.8,0.0,0.034666666666666665,0.0,0.8372253348924665,0.009686875109332816,0.01155401620401813,0.015350421231514054,0.020148203299051735,0.07719851419500115,0.0396355952630865,11.369131976066829,0.022205335890755525,0.022248485727965846,11.391224692718513,11.391224692718513,0.0,0.029933259094191533,0.0,0.03963559526308656,5
stealth_amp,stealth_amp,,D0,0,mean,0.7,0.0,512,0,0.8051736235618592,0.7654278417539853,0.8026502370834351,0.7602788133576462,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.003171466144437932,0.005112153166308012,0.005803292174977266,0.00873374800056852,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,median,0.7,0.0,512,0,0.8060125827789306,0.7673370939161375,0.8045912623405457,0.76357277408616,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0022909853461515815,0.003782340047739822,0.005406351752742234,0.007921090291659936,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,trimmed_mean,0.7,0.0,512,0,0.8061057925224304,0.7671526260808831,0.8041620016098022,0.7627413558384774,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0035096490752730123,0.00556573215434869,0.00578892185776833,0.008232791770208499,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,0,weighted,0.7,0.0,512,0,0.8051270127296448,0.7654659992029973,0.8029301881790161,0.7607611504327986,0.0,0.0,341.7817626953125,0.6675425052642823,0.66953125,169.2,342.8,0.0,0.10133333333333334,nan,1.0,0.00325396391653331,0.005257984478635974,0.005835006028413927,0.008894793800752502,0.0,0.0,8.621080802735777,0.016838048442843315,0.016819570423133583,8.611620056644394,8.611620056644394,0.0,0.10561144719100188,nan,0.0,5
stealth_amp,stealth_amp,,D0,3,mean,0.7,0.0,512,0,0.5435562849044799,0.4977892842517619,0.5414147019386292,0.49325352782054654,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.04046702995706397,0.061776812273090245,0.039266237043074866,0.061222023497004056,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,median,0.7,0.0,512,0,0.8045210838317871,0.7653069774697616,0.802986204624176,0.7614579076049923,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0021480829084948756,0.0035378739547632823,0.004806906028687823,0.007559881370460336,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,trimmed_mean,0.7,0.0,512,0,0.7408529639244079,0.6937529067839914,0.7409667730331421,0.6913528102634755,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.03972923836121939,0.051174109196814234,0.03611538756416388,0.0456971882795016,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,3,weighted,0.7,0.0,512,0,0.8049871921539307,0.7659348911708521,0.802706241607666,0.7609836543311145,2.290056535229874e-10,0.01574438305986553,341.7817626953125,0.6675425052642823,0.66953125,169.2,342.8,0.0,0.10095238095238095,0.0,0.9842556169401344,0.0038951471008429788,0.0054728144283771075,0.005674308997744463,0.008439941248615721,2.587418655647212e-10,0.0031499287838310337,8.621080802735777,0.016838048442843315,0.016819570423133583,8.611620056644394,8.611620056644394,0.0,0.10598421137709375,0.0,0.003149928783831067,5
stealth_amp,stealth_amp,,D0,5,mean,0.7,0.0,512,0,0.5869028210639954,0.49491458750245626,0.5884658455848694,0.49279422746286006,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.03627249330679981,0.06983737971649896,0.04097029683638424,0.07153593333616355,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,median,0.7,0.0,512,0,0.7587508797645569,0.7168458891445258,0.7564576506614685,0.7132368471897708,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.027024245409364572,0.037880765537022555,0.03360801872237195,0.04455144271215696,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,trimmed_mean,0.7,0.0,512,0,0.5832673072814941,0.4945440874645463,0.5843785047531128,0.49532775059908174,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.05022265241009342,0.06005929195789033,0.04881059164200213,0.05836258633981293,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
stealth_amp,stealth_amp,,D0,5,weighted,0.7,0.0,512,0,0.8082498192787171,0.7710952253688645,0.8066069483757019,0.7670918048563318,3.4708434171580007e-10,0.0342735361710339,341.7817626953125,0.6675425052642823,0.66953125,169.2,342.8,0.0,0.15466666666666667,0.0,0.9657264638289661,0.005121486484518419,0.007678370506214005,0.004874253882581639,0.006429497004381405,2.2653423215896106e-10,0.015391296336293258,8.621080802735777,0.016838048442843315,0.016819570423133583,8.611620056644394,8.611620056644394,0.0,0.11488351588553608,0.0,0.015391296336293343,5
