attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,tau_gate,lambda_m,ref_size,audit_size,S_DT,S_DT_ratio,num_masked,num_valid,valid_ratio,fallback_flag,fallback_method,skip_semantic,W_mal,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,exp_group,w_mal
label_flip,label_flip,L1,D0,5,weighted,2,6,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.14817205705468403,0.0,0.0,0.851827942945316,False,weighted,base,0.14817205705468403
label_flip,label_flip,L1,D0,5,weighted,2,7,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.1266536817961705,0.0,0.0,0.8733463182038295,False,weighted,base,0.1266536817961705
label_flip,label_flip,L1,D0,5,weighted,2,8,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.15033933547148723,0.0,0.0,0.8496606645285127,False,weighted,base,0.15033933547148723
label_flip,label_flip,L1,D0,5,weighted,2,9,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.1439887075305302,0.0,0.0,0.8560112924694698,False,weighted,base,0.1439887075305302
label_flip,label_flip,L1,D0,5,weighted,2,10,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.11868775176440764,0.0,0.0,0.8813122482355923,False,weighted,base,0.11868775176440764
label_flip,label_flip,L1,D0,5,weighted,2,11,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.11251895701168081,0.0,0.0,0.8874810429883192,False,weighted,base,0.11251895701168081
label_flip,label_flip,L1,D0,5,weighted,2,12,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.10045174910120272,0.0,0.0,0.8995482508987972,False,weighted,base,0.10045174910120272
label_flip,label_flip,L1,D0,5,weighted,2,13,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.1527394858519103,0.0,0.0,0.8472605141480897,False,weighted,base,0.1527394858519103
label_flip,label_flip,L1,D0,5,weighted,2,14,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.10443112534630226,0.0,0.0,0.8955688746536977,False,weighted,base,0.10443112534630226
label_flip,label_flip,L1,D0,5,weighted,2,15,0.7,0.0,512,0,345.912841796875,0.6756110191345215,165,347,0.677734375,0,none,0,0.16253988091577634,1.0,0.0,0.8374601190842237,False,weighted,base,0.16253988091577634
label_flip,label_flip,L1,D0,5,weighted,3,1,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.15292447924045266,0.0,0.0,0.8470755207595474,False,weighted,base,0.15292447924045266
label_flip,label_flip,L1,D0,5,weighted,3,2,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.15610110745807995,0.0,0.0,0.8438988925419202,False,weighted,base,0.15610110745807995
label_flip,label_flip,L1,D0,5,weighted,3,3,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.13866507000655065,0.0,0.0,0.8613349299934493,False,weighted,base,0.13866507000655065
label_flip,label_flip,L1,D0,5,weighted,3,4,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.11658327399827008,0.0,0.0,0.8834167260017298,False,weighted,base,0.11658327399827008
label_flip,label_flip,L1,D0,5,weighted,3,5,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.11906692086605175,0.0,0.0,0.8809330791339481,False,weighted,base,0.11906692086605175
label_flip,label_flip,L1,D0,5,weighted,3,6,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.1194859683860869,0.0,0.0,0.8805140316139131,False,weighted,base,0.1194859683860869
label_flip,label_flip,L1,D0,5,weighted,3,7,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.12790439627676434,0.0,0.0,0.8720956037232357,False,weighted,base,0.12790439627676434
label_flip,label_flip,L1,D0,5,weighted,3,8,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.11979094708860656,0.0,0.0,0.8802090529113935,False,weighted,base,0.11979094708860656
label_flip,label_flip,L1,D0,5,weighted,3,9,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.12208770857557395,0.0,0.0,0.8779122914244262,False,weighted,base,0.12208770857557395
label_flip,label_flip,L1,D0,5,weighted,3,10,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.1109260975463617,0.0,0.0,0.8890739024536383,False,weighted,base,0.1109260975463617
label_flip,label_flip,L1,D0,5,weighted,3,11,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.09302666493891419,0.0,0.0,0.9069733350610858,False,weighted,base,0.09302666493891419
label_flip,label_flip,L1,D0,5,weighted,3,12,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.07452825413004625,0.0,0.0,0.9254717458699537,False,weighted,base,0.07452825413004625
label_flip,label_flip,L1,D0,5,weighted,3,13,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.07426209812081619,0.0,0.0,0.9257379018791839,False,weighted,base,0.07426209812081619
label_flip,label_flip,L1,D0,5,weighted,3,14,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.07371477993277302,0.0,0.0,0.926285220067227,False,weighted,base,0.07371477993277302
label_flip,label_flip,L1,D0,5,weighted,3,15,0.7,0.0,512,0,339.7510986328125,0.6635763645172119,171,341,0.666015625,0,none,0,0.07247653090857455,0.0,0.0,0.9275234690914255,False,weighted,base,0.07247653090857455
label_flip,label_flip,L1,D0,5,weighted,4,1,0.7,0.0,512,0,362.85552978515625,0.7087022066116333,148,364,0.7109375,0,none,0,0.2248590075823873,0.0,0.0,0.7751409924176128,False,weighted,base,0.2248590075823873
